campaign_id,campaign_name,objective,ad_group
120211593344760641,Nursing TESTING CBO 2024/10/10,OUTCOME_ENGAGEMENT,Nursing
120211749809770641,Brace | Messaging | TESTING CBO | 2024/10/16,OUTCOME_ENGAGEMENT,Products
120211750161900641,Eye Exam Messages | TESTING CBO | 2024/10/16,OUTCOME_ENGAGEMENT,Eye exam
120211830163520641,Brace | Leads Form | TESTING CBO | 2024/10/18,OUTCOME_LEADS,Products
120211861521690641,Physiotherapy | 10$ | Leads Form | TESTING CBO | 2024/10/18,OUTCOME_LEADS,Physiotherapy
120211977092830641,IPR | Original Audince | 2024/10/25 | 5$,OUTCOME_ENGAGEMENT,International referral
120212225335390641,📍Wound Care | 2024/11/5,OUTCOME_ENGAGEMENT,Wound care
120212225436330641,Second Opinion B2C | 2024/11/5 | 10$,OUTCOME_ENGAGEMENT,Telemedicine
120212331723170641,Nursing Testing 2024/11/10,OUTCOME_ENGAGEMENT,Nursing
120212698323840641,B2B Expert-i | 2024 Nov 25,OUTCOME_ENGAGEMENT,B2B
120212724291700641,IPR | Original Audince | 2024/10/25 | 5$ - Copy,OUTCOME_LEADS,International referral
120214772973230641,Surgery | Leads | 2025.2.1 | $6,OUTCOME_LEADS,Surgery
120215691416470641,X-Ray TESTING WHATSAPP API,OUTCOME_ENGAGEMENT,Imaging
120216196569370641,Nursing | 3O CBO | $35 | 2025/2/25,OUTCOME_ENGAGEMENT,Nursing
120216529181230641,Eye Exam | CBO | 2025/2/28,OUTCOME_ENGAGEMENT,Eye exam
120216723498230641,Nursing | 3O | $37 | 2025/3/4,OUTCOME_ENGAGEMENT,Nursing
120216838023660641,Dr Visit | 3O | 2025/3/7,OUTCOME_ENGAGEMENT,Doctor visit
120216881835510641,Ramadan Awareness Campaign,OUTCOME_AWARENESS,Brand & awareness
120217584669180641,Hiring | Wati | march 25,OUTCOME_ENGAGEMENT,Recruitment
120219022528740641,TOF | Website | Baghdad Rich Areas,OUTCOME_LEADS,Products
120220236537300641,MOF | Website | BRA | CBO $20,OUTCOME_LEADS,All services (general)
120220660081950641,TOF | Whatsapp | Website | Baghdad Rich Areas,OUTCOME_ENGAGEMENT,Products
120220666264530641,MOF | Whatsapp | BRA | CBO $25,OUTCOME_ENGAGEMENT,App
120220813947310641,📍Nursing | $35,OUTCOME_ENGAGEMENT,Nursing
120220820768680641,Dr Visit,OUTCOME_ENGAGEMENT,Doctor visit
120221855998800641,Profile Traffic Campaign (Followers) | $12 | May 1,OUTCOME_TRAFFIC,Brand & awareness
120222834173730641,Profile Traffic Campaign (Followers) | $12 | May 7,OUTCOME_TRAFFIC,Brand & awareness
120223118964430641,📍Physiotherapy Main | Sales Objective,OUTCOME_SALES,Physiotherapy
120223432964300641,Saleem Bag $15,OUTCOME_SALES,Products
120224400085400641,Dr Visit Main | $35 - Copy,OUTCOME_ENGAGEMENT,Doctor visit
120224400085510641,Lab Test | Original Audince | 2024 Aug 14 - Copy,OUTCOME_ENGAGEMENT,Lab tests
120224400085540641,Physiotherapy Main | Sales Objective - Copy,OUTCOME_SALES,Physiotherapy
120224400085590641,Imaging Services | $8 | 2024 Sep 3 - Copy,OUTCOME_ENGAGEMENT,Imaging
120224400085600641,Physiotherapy | $6 | Testing - Copy,OUTCOME_ENGAGEMENT,Physiotherapy
120224400085610641,🌟Physiotherapy | $10 | LAL | 2024 Sep 6 - Copy,OUTCOME_ENGAGEMENT,Physiotherapy
120224400085620641,Wound Care | 2024/11/5 - Copy,OUTCOME_ENGAGEMENT,Wound care
120224400085640641,Nursing | $35 - Copy,OUTCOME_ENGAGEMENT,Nursing
120224400085780641,🌟Physiotherapy | $25 | Original Audience | 2024 Sep 6 - Copy,OUTCOME_ENGAGEMENT,Physiotherapy
120225607512910641,mini TVCs 2025,OUTCOME_ENGAGEMENT,Brand & awareness
120225660544580641,🌟Physiotherapy | $25 | Original Audience | 2024 Sep 6 - Respond.io,OUTCOME_ENGAGEMENT,Physiotherapy
120225660544600641,Dr Visit - Respond.io,OUTCOME_ENGAGEMENT,Doctor visit
120225660545140641,Lab Test - Respond.io,OUTCOME_ENGAGEMENT,Lab tests
120225660545330641,Wound Care - Respond.io,OUTCOME_ENGAGEMENT,Wound care
120225660545340641,Imaging Services | $8 | 2024 Sep 3 - Respond.io,OUTCOME_ENGAGEMENT,Imaging
120225660545360641,Nursing | $35 - Respond.io,OUTCOME_ENGAGEMENT,Nursing
120225660545370641,🌟Physiotherapy | $10 | LAL | 2024 Sep 6 - Respond.io,OUTCOME_ENGAGEMENT,Physiotherapy
120225660545520641,Physiotherapy | $6 | Testing - Respond.io,OUTCOME_ENGAGEMENT,Physiotherapy
120226320691760641,Physiotherapy | $6 | Testing - Respond.io - Copy,OUTCOME_ENGAGEMENT,Physiotherapy
120226320691790641,Wound Care - Respond.io - Copy,OUTCOME_ENGAGEMENT,Wound care
120226320691810641,Nursing | $35 - Respond.io - Copy,OUTCOME_ENGAGEMENT,Nursing
120226320691820641,🌟Physiotherapy | $10 | LAL | 2024 Sep 6 - Respond.io - Copy,OUTCOME_ENGAGEMENT,Physiotherapy
120226320691830641,Imaging Services | $8 | 2024 Sep 3 - Respond.io - Copy,OUTCOME_ENGAGEMENT,Imaging
120226320691840641,Dr Visit - Respond.io - Copy,OUTCOME_ENGAGEMENT,Doctor visit
120226320691860641,Lab Test - Respond.io - Copy,OUTCOME_ENGAGEMENT,Lab tests
120226320691880641,🌟Physiotherapy | $25 | Original Audience | 2024 Sep 6 - Respond.io - Copy,OUTCOME_ENGAGEMENT,Physiotherapy
120227060315070641,B2B | Leads,OUTCOME_LEADS,B2B
120227303716570641,Imaging Services | $8 | Respond.io 2025Jul10,OUTCOME_ENGAGEMENT,Imaging
120227303716680641,Physiotherapy | $6 | Testing - Respond.io 2025Jul10,OUTCOME_ENGAGEMENT,Physiotherapy
120227303716690641,Wound Care - Respond.io 2025Jul10,OUTCOME_ENGAGEMENT,Wound care
120227303716700641,Dr Visit - Respond.io 2025Jul10,OUTCOME_ENGAGEMENT,Doctor visit
120227303716710641,Lab Test - Respond.io 2025Jul10,OUTCOME_ENGAGEMENT,Lab tests
120227303716720641,Physiotherapy | Respond.io 2025Jul10,OUTCOME_ENGAGEMENT,Physiotherapy
120227303717360641,Nursing | $35 - Respond.io 2025Jul10,OUTCOME_ENGAGEMENT,Nursing
120227412239930641,Dr Visit - Respond.io 2025Jul13,OUTCOME_ENGAGEMENT,Doctor visit
120227412239950641,Imaging Services | $8 | Respond.io 2025Jul13,OUTCOME_ENGAGEMENT,Imaging
120227412239960641,Lab Test - Respond.io 2025Jul13,OUTCOME_ENGAGEMENT,Lab tests
120227412239980641,Physiotherapy | $6 | Testing - Respond.io 2025Jul13,OUTCOME_ENGAGEMENT,Physiotherapy
120227412240000641,Nursing | $35 - Respond.io 2025Jul13,OUTCOME_ENGAGEMENT,Nursing
120227412240020641,Physiotherapy | Respond.io 2025Jul13,OUTCOME_ENGAGEMENT,Physiotherapy
120227412240720641,Wound Care - Respond.io 2025Jul13,OUTCOME_ENGAGEMENT,Wound care
120227445417210641,Dr Visit - Respond.io 2025Jul13 - Copy,OUTCOME_ENGAGEMENT,Doctor visit
120227445417220641,Imaging Services | $8 | Respond.io 2025Jul13 - Copy,OUTCOME_ENGAGEMENT,Imaging
120227445417230641,Physiotherapy | Respond.io 2025Jul13 - Copy,OUTCOME_ENGAGEMENT,Physiotherapy
120227445417250641,Nursing | $35 - Respond.io 2025Jul13 - Copy,OUTCOME_ENGAGEMENT,Nursing
120227445417310641,Physiotherapy | $6 | Testing - Respond.io 2025Jul13 - Copy,OUTCOME_ENGAGEMENT,Physiotherapy
120227445417320641,Wound Care - Respond.io 2025Jul13 - Copy,OUTCOME_ENGAGEMENT,Wound care
120227445417350641,Lab Test - Respond.io 2025Jul13 - Copy,OUTCOME_ENGAGEMENT,Lab tests
120228579427670641,Imaging Services - ABO - 2025Aug1,OUTCOME_ENGAGEMENT,Imaging
120228579427710641,Dr Visit - CBO - 2025Aug1,OUTCOME_ENGAGEMENT,Doctor visit
120228579427740641,Nursing - CBO - 2025Aug1,OUTCOME_ENGAGEMENT,Nursing
120228579427750641,Physiotherapy - CBO - 2025Aug1,OUTCOME_ENGAGEMENT,Physiotherapy
120228579427760641,Wound Care - CBO - 2025Aug1,OUTCOME_ENGAGEMENT,Wound care
120228579427770641,Lab Test - CBO - 2025Aug1,OUTCOME_ENGAGEMENT,Lab tests
120229306970220641,Physiotherapy - 2025Aug15,OUTCOME_ENGAGEMENT,Physiotherapy
120229325762870641,Nursing - 2025Aug15,OUTCOME_ENGAGEMENT,Nursing
120229326433050641,Dr Visit - 2025Aug15,OUTCOME_ENGAGEMENT,Doctor visit
120229775957540641,Recruiting,OUTCOME_LEADS,Recruitment
120229843415210641,Recruiting Messages,OUTCOME_ENGAGEMENT,Recruitment
120230441426230641,DrVisit - 2025Sep3,OUTCOME_ENGAGEMENT,Doctor visit
120230714232220641,Physio Offer 20$/day,OUTCOME_ENGAGEMENT,Physiotherapy
120230752385950641,SALES | DrVisit | FB Only,OUTCOME_SALES,Doctor visit
